Latitude (decimal degrees): 50.730
Longitude (decimal degrees): 4.862
Elevation (m): 100.0
month,year
1,2013
2,2009
3,2013
4,2014
5,2014
6,2015
7,2014
8,2014
9,2012
10,2012
11,2011
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,6.85,91.67,0.0,-0.0,0.0,313.33,7.65,210.0,99070.0
20130101:0100,6.82,92.48,0.0,-0.0,0.0,316.29,7.51,211.0,99034.0
20130101:0200,6.79,93.3,0.0,-0.0,0.0,319.24,7.36,212.0,98998.0
20130101:0300,6.76,94.11,0.0,-0.0,0.0,322.2,7.21,213.0,98975.0
20130101:0400,6.73,94.93,0.0,-0.0,0.0,325.15,7.07,213.0,98952.0
20130101:0500,6.7,95.74,0.0,-0.0,0.0,328.1,6.92,214.0,98929.0
20130101:0600,6.67,96.56,0.0,-0.0,0.0,331.06,6.77,220.0,98991.0
20130101:0700,6.64,97.37,0.0,-0.0,0.0,334.01,6.63,226.0,99054.0
20130101:0800,7.3,96.02,17.0,65.29,14.0,336.6,5.86,232.0,99117.0
20130101:0900,7.19,94.8,24.0,0.0,24.0,337.37,5.94,247.0,99215.0
20130101:1000,7.08,93.58,33.0,0.0,33.0,338.13,6.01,262.0,99314.0
20130101:1100,6.97,92.36,198.0,277.39,122.0,338.9,6.08,277.0,99413.0
20130101:1200,6.53,90.41,40.0,0.0,40.0,324.15,5.74,280.0,99505.0
20130101:1300,6.09,88.46,79.0,4.19,78.0,309.4,5.39,282.0,99597.0
20130101:1400,5.64,86.51,133.0,523.58,47.0,294.65,5.05,284.0,99690.0
20130101:1500,4.85,86.94,20.0,51.6,17.0,279.92,4.69,278.0,99775.0
20130101:1600,4.06,87.38,0.0,-0.0,0.0,265.18,4.34,272.0,99861.0
20130101:1700,3.27,87.81,0.0,-0.0,0.0,250.45,3.99,266.0,99947.0
20130101:1800,3.05,87.91,0.0,-0.0,0.0,248.52,4.07,263.0,100016.0
20130101:1900,2.84,88.02,0.0,-0.0,0.0,246.58,4.15,260.0,100085.0
20130101:2000,2.62,88.12,0.0,-0.0,0.0,244.65,4.23,256.0,100154.0
20130101:2100,2.53,88.8,0.0,-0.0,0.0,244.95,4.2,256.0,100213.0
20130101:2200,2.44,89.48,0.0,-0.0,0.0,245.25,4.17,255.0,100273.0
20130101:2300,2.35,90.16,0.0,-0.0,0.0,245.55,4.14,254.0,100332.0
20130102:0000,2.6,90.41,0.0,-0.0,0.0,253.37,4.21,255.0,100414.0
20130102:0100,2.85,90.67,0.0,-0.0,0.0,261.18,4.28,255.0,100497.0
20130102:0200,3.11,90.92,0.0,-0.0,0.0,269.0,4.34,256.0,100579.0
20130102:0300,3.0,91.81,0.0,-0.0,0.0,269.92,4.23,257.0,100642.0
20130102:0400,2.9,92.69,0.0,-0.0,0.0,270.83,4.12,258.0,100704.0
20130102:0500,2.8,93.58,0.0,-0.0,0.0,271.75,4.01,259.0,100767.0
20130102:0600,3.02,93.95,0.0,-0.0,0.0,276.17,3.86,260.0,100869.0
20130102:0700,3.24,94.32,0.0,-0.0,0.0,280.58,3.71,261.0,100971.0
20130102:0800,3.45,94.69,8.0,0.0,8.0,285.0,3.56,262.0,101073.0
20130102:0900,4.21,92.91,40.0,0.0,40.0,292.6,3.91,262.0,101119.0
20130102:1000,4.97,91.14,130.0,102.72,106.0,300.2,4.26,261.0,101165.0
20130102:1100,5.73,89.36,266.0,773.85,53.0,307.8,4.61,261.0,101212.0
20130102:1200,5.72,89.75,120.0,25.22,113.0,301.62,4.48,255.0,101271.0
20130102:1300,5.71,90.15,134.0,104.0,109.0,295.43,4.36,249.0,101330.0
20130102:1400,5.7,90.54,116.0,312.69,64.0,289.25,4.23,243.0,101389.0
20130102:1500,5.46,90.53,16.0,16.58,15.0,287.37,4.36,239.0,101406.0
20130102:1600,5.22,90.52,0.0,-0.0,0.0,285.48,4.49,236.0,101422.0
20130102:1700,4.97,90.51,0.0,-0.0,0.0,283.6,4.62,232.0,101439.0
20130102:1800,5.09,90.91,0.0,-0.0,0.0,285.52,4.95,228.0,101455.0
20130102:1900,5.21,91.3,0.0,-0.0,0.0,287.43,5.27,225.0,101472.0
20130102:2000,5.33,91.7,0.0,-0.0,0.0,289.35,5.6,222.0,101488.0
20130102:2100,5.62,92.84,0.0,-0.0,0.0,300.25,5.9,221.0,101485.0
20130102:2200,5.91,93.98,0.0,-0.0,0.0,311.15,6.21,221.0,101482.0
20130102:2300,6.2,95.12,0.0,-0.0,0.0,322.05,6.51,220.0,101478.0
20130103:0000,6.54,95.55,0.0,-0.0,0.0,323.68,6.51,223.0,101511.0
20130103:0100,6.88,95.97,0.0,-0.0,0.0,325.32,6.5,226.0,101544.0
20130103:0200,7.22,96.4,0.0,-0.0,0.0,326.95,6.5,229.0,101577.0
20130103:0300,7.6,96.65,0.0,-0.0,0.0,330.18,6.23,233.0,101610.0
20130103:0400,7.99,96.89,0.0,-0.0,0.0,333.42,5.96,237.0,101643.0
20130103:0500,8.38,97.14,0.0,-0.0,0.0,336.65,5.7,242.0,101676.0
20130103:0600,8.76,97.22,0.0,-0.0,0.0,339.28,5.61,246.0,101745.0
20130103:0700,9.15,97.29,0.0,-0.0,0.0,341.92,5.53,250.0,101814.0
20130103:0800,9.53,97.37,8.0,0.0,8.0,344.55,5.45,254.0,101883.0
