Latitude (decimal degrees):	50.947
Longitude (decimal degrees):	4.827
Elevation (m):	23
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,7.37,2.07,0.0
20050101:0110,0.0,0.0,0.0,6.9,2.0,0.0
20050101:0210,0.0,0.0,0.0,6.55,1.79,0.0
20050101:0310,0.0,0.0,0.0,5.9,1.38,0.0
20050101:0410,0.0,0.0,0.0,5.62,1.45,0.0
20050101:0510,0.0,0.0,0.0,5.35,1.86,0.0
20050101:0610,0.0,0.0,0.0,5.01,2.14,0.0
20050101:0710,0.0,0.0,0.0,5.18,2.48,0.0
20050101:0810,0.0,0.0,0.0,5.47,2.76,0.0
20050101:0910,7.64,19.47,8.72,6.11,3.03,0.0
20050101:1010,50.63,73.98,13.25,6.79,3.66,0.0
20050101:1110,42.72,64.9,15.68,7.24,4.07,0.0
20050101:1210,42.69,64.9,15.81,7.46,4.48,0.0
20050101:1310,56.02,80.58,13.61,7.48,4.34,0.0
20050101:1410,51.42,75.02,9.29,7.47,4.34,0.0
20050101:1510,16.44,32.12,3.2,7.26,4.48,0.0
20050101:1610,0.0,0.0,0.0,6.99,4.97,0.0
20050101:1710,0.0,0.0,0.0,7.49,5.66,0.0
20050101:1810,0.0,0.0,0.0,8.2,5.86,0.0
20050101:1910,0.0,0.0,0.0,8.87,6.62,0.0
20050101:2010,0.0,0.0,0.0,9.53,7.72,0.0
20050101:2110,0.0,0.0,0.0,10.01,8.14,0.0
20050101:2210,0.0,0.0,0.0,10.35,8.41,0.0
20050101:2310,0.0,0.0,0.0,10.15,8.55,0.0
20050102:0010,0.0,0.0,0.0,9.41,7.52,0.0
20050102:0110,0.0,0.0,0.0,8.21,6.55,0.0
20050102:0210,0.0,0.0,0.0,7.3,6.55,0.0
20050102:0310,0.0,0.0,0.0,6.38,6.41,0.0
20050102:0410,0.0,0.0,0.0,5.88,6.14,0.0
20050102:0510,0.0,0.0,0.0,5.44,5.72,0.0
20050102:0610,0.0,0.0,0.0,5.14,5.66,0.0
20050102:0710,0.0,0.0,0.0,4.26,5.31,0.0
20050102:0810,0.0,0.0,0.0,4.1,5.38,0.0
20050102:0910,15.65,30.59,8.76,4.32,5.52,0.0
20050102:1010,350.74,400.06,13.3,4.76,5.45,0.0
20050102:1110,510.87,581.8,15.76,5.39,5.45,0.0
20050102:1210,17.61,33.38,15.9,5.87,6.07,0.0
20050102:1310,11.47,25.03,13.71,6.12,6.83,0.0
20050102:1410,27.75,46.36,9.4,6.02,6.07,0.0
20050102:1510,83.5,112.51,3.32,5.63,5.38,0.0
20050102:1610,0.0,0.0,0.0,4.95,5.03,0.0
20050102:1710,0.0,0.0,0.0,4.38,4.83,0.0
20050102:1810,0.0,0.0,0.0,4.09,4.83,0.0
20050102:1910,0.0,0.0,0.0,4.11,4.9,0.0
20050102:2010,0.0,0.0,0.0,4.03,5.03,0.0
20050102:2110,0.0,0.0,0.0,3.94,4.97,0.0
